Monitoraggio ID,KPI,Valore (PV) (€),Data rilevazione,Stato dell'Attività,Actual Cost,Attività,Peso Relativo WP,Budget Attività (€),Peso Attività (%),Planned Start,Planned Finish,Giorni per Attività,Giorni trascorsi,Percentuale completa (%),Stato dell'attività (%),Work Package,Programma,Progetto
Earned Value (27/11/2023) 1.1.1 Define mapping scope,Earned Value,426,27/11/2023,Quasi finita,,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,98,0.93,0.75,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.1.1 Define mapping scope,Actual Cost,500,27/11/2023,,500,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,98,0.93,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.1.2 Define mapping use cases,Planned Value,531,27/11/2023,,,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,87,0.94,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.1.2 Define mapping use cases,Earned Value,284,27/11/2023,A metà,,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,87,0.94,0.50,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.1.2 Define mapping use cases,Actual Cost,300,27/11/2023,,300,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,87,0.94,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.1.3 Map development,Planned Value,308,27/11/2023,,,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,26,0.27,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.1.3 Map development,Earned Value,568,27/11/2023,A metà,,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,26,0.27,0.50,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.1.3 Map development,Actual Cost,500,27/11/2023,,500,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,26,0.27,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.1.4 Publish the mapping,Planned Value,0,27/11/2023,Da iniziare,,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,0.00,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.1.4 Publish the mapping,Earned Value,0,27/11/2023,,,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.1.4 Publish the mapping,Actual Cost,0,27/11/2023,,0,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.2.1 Define knowledge-map scope,Planned Value,1358,27/11/2023,,,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,118,0.80,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.2.1 Define knowledge-map scope,Earned Value,1278,27/11/2023,Quasi finita,,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,118,0.80,0.75,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.2.1 Define knowledge-map scope,Actual Cost,1300,27/11/2023,,1300,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,118,0.80,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.2.2 Literature review of indigenous knowledge,Planned Value,2369,27/11/2023,,,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,73,0.70,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.2.2 Literature review of indigenous knowledge,Earned Value,2556,27/11/2023,Quasi finita,,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,73,0.70,0.75,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.2.2 Literature review of indigenous knowledge,Actual Cost,1700,27/11/2023,,1700,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,73,0.70,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.2.3 Define knowledge-map use cases,Planned Value,651,27/11/2023,,,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,13,0.38,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.2.3 Define knowledge-map use cases,Earned Value,426,27/11/2023,Appena iniziata,,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,13,0.38,0.25,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.2.3 Define knowledge-map use cases,Actual Cost,300,27/11/2023,,300,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,13,0.38,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.2.4 Publish the knowledge map,Planned Value,131,27/11/2023,,,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,26,0.15,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.2.4 Publish the knowledge map,Earned Value,213,27/11/2023,Appena iniziata,,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,26,0.15,0.25,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.2.4 Publish the knowledge map,Actual Cost,200,27/11/2023,,200,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,26,0.15,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Planned Value,1175,27/11/2023,,,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,20,0.69,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Earned Value,1278,27/11/2023,Quasi finita,,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,20,0.69,0.75,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Actual Cost,1200,27/11/2023,,1200,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,20,0.69,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.3.2 DB creation of under-represented groups,Planned Value,740,27/11/2023,,,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,11,0.29,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.3.2 DB creation of under-represented groups,Earned Value,639,27/11/2023,Appena iniziata,,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,11,0.29,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.3.2 DB creation of under-represented groups,Actual Cost,600,27/11/2023,,600,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,11,0.29,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.3.3 Define worshop concepts,Planned Value,1399,27/11/2023,,,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,55,0.82,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.3.3 Define worshop concepts,Earned Value,1278,27/11/2023,Quasi finita,,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,55,0.82,0.75,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.3.3 Define worshop concepts,Actual Cost,1200,27/11/2023,,1200,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,55,0.82,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.3.4 Interview groups,Planned Value,843,27/11/2023,,,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,31,0.33,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.3.4 Interview groups,Earned Value,639,27/11/2023,Appena iniziata,,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,31,0.33,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.3.4 Interview groups,Actual Cost,900,27/11/2023,,900,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,31,0.33,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.3.5 Public the tender for workshop services,Planned Value,0,27/11/2023,,,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.3.5 Public the tender for workshop services,Earned Value,0,27/11/2023,Da iniziare,,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,0.00,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.3.5 Public the tender for workshop services,Actual Cost,0,27/11/2023,,0,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.3.6 Ultimate the workshop series,Planned Value,736,27/11/2023,,,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,49,0.22,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (27/11/2023) 1.3.6 Ultimate the workshop series,Earned Value,852,27/11/2023,Appena iniziata,,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,49,0.22,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (27/11/2023) 1.3.6 Ultimate the workshop series,Actual Cost,800,27/11/2023,,800,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,49,0.22,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 10.1.1 Literature review,Planned Value,2595,13/11/2023,,,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,38,0.34,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (13/11/2023) 10.1.1 Literature review,Earned Value,1895,13/11/2023,Appena iniziata,,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,38,0.34,0.25,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (13/11/2023) 10.1.1 Literature review,Actual Cost,460,13/11/2023,,460,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,38,0.34,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (13/11/2023) 10.1.2 Define scope of forecasting system of systems,Planned Value,1364,13/11/2023,,,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,27,0.18,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (13/11/2023) 10.1.2 Define scope of forecasting system of systems,Earned Value,1895,13/11/2023,Appena iniziata,,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,27,0.18,0.25,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (13/11/2023) 10.1.2 Define scope of forecasting system of systems,Actual Cost,1200,13/11/2023,,1200,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,27,0.18,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (13/11/2023) 10.1.3 Develop forecasting system of systems,Planned Value,0,13/11/2023,,,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (13/11/2023) 10.1.3 Develop forecasting system of systems,Earned Value,0,13/11/2023,Da iniziare,,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (13/11/2023) 10.1.3 Develop forecasting system of systems,Actual Cost,0,13/11/2023,,0,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (13/11/2023) 10.1.4 Test forecasting system of systems,Planned Value,0,13/11/2023,,,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (13/11/2023) 10.1.4 Test forecasting system of systems,Earned Value,0,13/11/2023,Da iniziare,,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (13/11/2023) 10.1.4 Test forecasting system of systems,Actual Cost,0,13/11/2023,,0,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (13/11/2023) 10.1.5 Deploy forecasting system of systems,Planned Value,0,13/11/2023,,,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (13/11/2023) 10.1.5 Deploy forecasting system of systems,Earned Value,0,13/11/2023,Da iniziare,,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (13/11/2023) 10.1.5 Deploy forecasting system of systems,Actual Cost,0,13/11/2023,,0,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (13/11/2023) 10.2.1 Find networks of citizen scientistis,Planned Value,9600,13/11/2023,,,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (13/11/2023) 10.2.1 Find networks of citizen scientistis,Earned Value,4800,13/11/2023,A metà,,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,0.50,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (13/11/2023) 10.2.1 Find networks of citizen scientistis,Actual Cost,1000,13/11/2023,,1000,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (13/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Planned Value,9086,13/11/2023,,,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,53,0.63,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (13/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Earned Value,3600,13/11/2023,Appena iniziata,,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,53,0.63,0.25,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (13/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Actual Cost,3000,13/11/2023,,3000,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,53,0.63,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (20/11/2023) 10.1.1 Literature review,Planned Value,3073,20/11/2023,,,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,45,0.41,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (20/11/2023) 10.1.1 Literature review,Earned Value,1895,20/11/2023,Appena iniziata,,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,45,0.41,0.25,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (20/11/2023) 10.1.1 Literature review,Actual Cost,1800,20/11/2023,,1800,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,45,0.41,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (20/11/2023) 10.1.2 Define scope of forecasting system of systems,Planned Value,1718,20/11/2023,,,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,34,0.23,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (20/11/2023) 10.1.2 Define scope of forecasting system of systems,Earned Value,1895,20/11/2023,Appena iniziata,,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,34,0.23,0.25,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (20/11/2023) 10.1.2 Define scope of forecasting system of systems,Actual Cost,1300,20/11/2023,,1300,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,34,0.23,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (20/11/2023) 10.1.3 Develop forecasting system of systems,Planned Value,0,20/11/2023,,,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (20/11/2023) 10.1.3 Develop forecasting system of systems,Earned Value,0,20/11/2023,Da iniziare,,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (20/11/2023) 10.1.3 Develop forecasting system of systems,Actual Cost,0,20/11/2023,,0,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (20/11/2023) 10.1.4 Test forecasting system of systems,Planned Value,0,20/11/2023,,,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (20/11/2023) 10.1.4 Test forecasting system of systems,Earned Value,0,20/11/2023,Da iniziare,,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (20/11/2023) 10.1.4 Test forecasting system of systems,Actual Cost,0,20/11/2023,,0,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (20/11/2023) 10.1.5 Deploy forecasting system of systems,Planned Value,0,20/11/2023,,,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (20/11/2023) 10.1.5 Deploy forecasting system of systems,Earned Value,0,20/11/2023,Da iniziare,,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (20/11/2023) 10.1.5 Deploy forecasting system of systems,Actual Cost,0,20/11/2023,,0,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (20/11/2023) 10.2.1 Find networks of citizen scientistis,Planned Value,9600,20/11/2023,,,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (20/11/2023) 10.2.1 Find networks of citizen scientistis,Earned Value,7200,20/11/2023,Quasi finita,,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,0.75,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (20/11/2023) 10.2.1 Find networks of citizen scientistis,Actual Cost,5000,20/11/2023,,5000,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (20/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Planned Value,10286,20/11/2023,,,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,60,0.71,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (20/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Earned Value,7200,20/11/2023,A metà,,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,60,0.71,0.50,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (20/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Actual Cost,6000,20/11/2023,,6000,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,60,0.71,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (27/11/2023) 10.1.1 Literature review,Planned Value,3550,27/11/2023,,,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,52,0.47,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (27/11/2023) 10.1.1 Literature review,Earned Value,3789,27/11/2023,A metà,,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,52,0.47,0.50,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (27/11/2023) 10.1.1 Literature review,Actual Cost,2700,27/11/2023,,2700,10.1.1 Literature review,"0,60",7579,"0,21",6/10/2023,25/1/2024,111,52,0.47,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (27/11/2023) 10.1.2 Define scope of forecasting system of systems,Planned Value,2072,27/11/2023,,,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,41,0.27,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (27/11/2023) 10.1.2 Define scope of forecasting system of systems,Earned Value,1895,27/11/2023,Appena iniziata,,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,41,0.27,0.25,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
